,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,boyband
0,Born Singer,bts,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937,238628,4,True
1,No More Dream,bts,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66e-06,0.431,0.594,167.898,222067,4,True
2,N.O,bts,0.595,0.914,11,-3.764,0,0.166,0.0389,0.0,0.457,0.572,146.89,209752,4,True
3,Boy In Luv,bts,0.492,0.931,9,-3.837,0,0.297,0.00244,0.0,0.353,0.444,166.071,231384,4,True
4,Danger,bts,0.738,0.868,1,-3.363,1,0.0702,0.000907,0.000209,0.275,0.377,111.991,245140,4,True
5,I NEED U,bts,0.482,0.858,5,-4.169,0,0.069,0.0218,0.0,0.244,0.737,158.075,210987,4,True
6,RUN,bts,0.558,0.856,11,-3.815,0,0.0531,0.00153,0.0,0.0979,0.53,132.89,236748,4,True
7,Burning Up (FIRE),bts,0.63,0.668,3,-4.266,0,0.0714,0.00287,0.0,0.125,0.529,99.949,203958,4,True
8,Blood Sweat & Tears,bts,0.574,0.882,0,-4.08,0,0.121,0.0245,0.0,0.354,0.612,92.994,217052,4,True
9,Spring Day,bts,0.538,0.831,8,-3.735,1,0.0353,0.00708,1.96e-06,0.109,0.461,106.993,274704,4,True
10,DNA,bts,0.599,0.775,1,-4.018,0,0.0543,0.0217,0.0,0.0678,0.696,129.817,223123,4,True
11,FAKE LOVE,bts,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,242334,4,True
12,IDOL,bts,0.708,0.857,6,-3.394,0,0.0827,0.00219,0.0,0.103,0.449,126.051,260234,4,True
13,Boy With Luv (Feat. Halsey),bts,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947,229773,4,True
14,ON,bts,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,246381,4,True
15,Dynamite,bts,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054,4,True
16,Life Goes On,bts,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,207481,4,True
17,Butter,bts,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442,4,True
18,Yet To Come,bts,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,193594,4,True
19,Run BTS,bts,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4,True
20,Intro : Persona,bts,0.486,0.871,9,-4.475,0,0.337,0.0278,0.0,0.313,0.659,85.411,171023,4,True
21,Stay,bts,0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,204800,4,True
22,Moon,bts,0.704,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87,208590,4,True
23,Jamais Vu,bts,0.608,0.47,8,-6.73,1,0.0428,0.226,0.0,0.0963,0.241,81.0,227275,4,True
24,Trivia 轉 : Seesaw,bts,0.707,0.791,5,-4.483,0,0.035,0.179,0.0,0.102,0.674,106.985,246334,4,True
25,BTS Cypher PT.3 : KILLER (Feat. Supreme Boi),bts,0.798,0.919,7,-3.28,1,0.333,0.0216,0.0,0.641,0.655,140.053,268605,4,True
26,Outro : Ego,bts,0.808,0.903,0,-3.106,1,0.0957,0.0121,0.000248,0.0993,0.473,116.988,196199,4,True
27,Her,bts,0.48,0.927,3,-5.704,1,0.27,0.317,0.0,0.0583,0.45,88.804,228613,4,True
28,Filter,bts,0.779,0.762,10,-5.188,0,0.0631,0.0224,0.0,0.121,0.859,110.043,180221,4,True
29,Friends,bts,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,199339,4,True
30,Singularity,bts,0.775,0.272,1,-9.126,0,0.091,0.56,0.00278,0.112,0.198,103.991,196998,3,True
31,00:00 (Zero O'Clock),bts,0.56,0.547,1,-6.456,1,0.0675,0.0806,0.0,0.11,0.199,157.962,250296,4,True
32,Euphoria,bts,0.637,0.799,2,-4.518,1,0.0338,0.394,0.0,0.0921,0.57,104.996,228615,4,True
33,Dimple,bts,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872,196776,4,True
34,For Youth,bts,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855,264481,3,True
35,내 방을 여행하는 법,bts,0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,222243,4,True
36,Blue & Grey,bts,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,254950,4,True
37,Skit,bts,0.703,0.321,4,-13.135,1,0.884,0.864,0.0,0.908,0.544,114.822,179548,4,True
38,잠시,bts,0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,202313,4,True
